"security_id","ticker","issuer_name","sec_cik","effective_from_utc","effective_to_utc","evidence_url","evidence_document","evidence_accession","evidence_raw_sha256","reviewer_status","reason"
"sp500-historical:69a5204f3c41d6bf6a13f499","HES","HESS CORP","0000004447","2019-07-09 04:00:00+00:00","2025-07-23 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/4447/000095014225001950/eh250651090_8k.htm","..\data\raw\sec_identity_evidence_20260802\HES_0000950142-25-001950_eh250651090_8k.htm","0000950142-25-001950","f0bdbe694d6db9d01d7c86d2d85de863cb9fc683c2c90434889b106b53bd79c6","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:78bf712d8ef08c0f2eef36a1","JWN","NORDSTROM INC","0000072333","2019-07-09 04:00:00+00:00","2020-06-22 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/72333/000007233320000142/jwn-q12020x10q.htm","..\data\raw\sec_identity_evidence_20260802\JWN_0000072333-20-000142_jwn-q12020x10q.htm","0000072333-20-000142","a6e56d692f30a46281cde786bef5513f1a11c41f33d516868a368c7757bf4a38","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:7ba2ac7f1ba475611cb72856","CERN","Cerner","0000804753","2019-07-09 04:00:00+00:00","2022-06-08 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/804753/000080475322000005/cern-20220115.htm","..\data\raw\sec_identity_evidence_20260802\CERN_0000804753-22-000005_targeted_cern-20220115.htm","0000804753-22-000005","c5191e48eb027761b17bb16980b2d132ac723b92f0bc8e78157bc58f7696f925","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:8892cf2f1a56164162266581","FL","FOOT LOCKER, INC.","0000850209","2019-07-09 04:00:00+00:00","2019-08-09 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/850209/000155837019005654/fl-20190504x10q.htm","..\data\raw\sec_identity_evidence_20260802\FL_0001558370-19-005654_fl-20190504x10q.htm","0001558370-19-005654","5f9e85eb0eba62c6d8cc7bf8e5898cbf0df80edd2f7d621b8d912f967cb2240f","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:8aa03f740622c7853b7ab5d8","AGN","Allergan","0001578845","2019-07-09 04:00:00+00:00","2020-05-12 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1578845/000119312520137717/d927229d8k.htm","..\data\raw\sec_identity_evidence_20260802\AGN_0001193125-20-137717_targeted_d927229d8k.htm","0001193125-20-137717","adaeeb958488ff91ee716296799b7a7edaf0e12d22fae7e138a7d3d4891166e7","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:8b0db678548c2346ecf8f8fd","JNPR","JUNIPER NETWORKS INC","0001043604","2019-07-09 04:00:00+00:00","2025-07-09 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1043604/000119312525154400/d912160d8k.htm","..\data\raw\sec_identity_evidence_20260802\JNPR_0001193125-25-154400_d912160d8k.htm","0001193125-25-154400","58fa53ce3a790c35c07a74891f43d3c4e4ddc66680281d18cd9b4ae3f9e5e0fe","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:8f26ce130c140bd25a5c2fe4","HOLX","HOLOGIC INC","0000859737","2019-07-09 04:00:00+00:00","2026-04-09 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/859737/000119312526144632/d135035d8k.htm","..\data\raw\sec_identity_evidence_20260802\HOLX_0001193125-26-144632_d135035d8k.htm","0001193125-26-144632","7c93646c7a4c2542c47b7f055de66a5519722165317db30680e1b140adf9c615","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:9c7f784178fafddc55a371c4","ADS","Alliance Data Systems","0001101215","2019-07-09 04:00:00+00:00","2020-06-22 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1101215/000110121520000002/form_8k.htm","..\data\raw\sec_identity_evidence_20260802\ADS_0001101215-20-000002_targeted_form_8k.htm","0001101215-20-000002","0338c54b2eb3856cad6a18ee4ce339af4e8500649238d879c79a4eda34181b51","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:b014ab2a87e8ebdc1f6cd856","DRE","DUKE REALTY CORP","0000783280","2019-07-09 04:00:00+00:00","2022-10-03 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/783280/000119312522254310/d374125d8k.htm","..\data\raw\sec_identity_evidence_20260802\DRE_0001193125-22-254310_d374125d8k.htm","0001193125-22-254310","062b20a4835ac0ab23eff76cf658cb978fe5aa374508b687228779b98491bf52","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:b6abbe8f2d24c51c54781c5c","IPG","INTERPUBLIC GROUP OF COMPANIES, INC.","0000051644","2019-07-09 04:00:00+00:00","2025-11-28 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/51644/000119312525300704/d89931d8k.htm","..\data\raw\sec_identity_evidence_20260802\IPG_0001193125-25-300704_d89931d8k.htm","0001193125-25-300704","37f83f318d27f42b15f468cf4c71f227ecf4b57724b7e2fb19c71a34fab49c49","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:c1751a92cc1a0afb4d6fc8f4","SEE","SEALED AIR CORP/DE","0001012100","2019-07-09 04:00:00+00:00","2023-12-18 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1012100/000162828023041277/see-20231023.htm","..\data\raw\sec_identity_evidence_20260802\SEE_0001628280-23-041277_see-20231023.htm","0001628280-23-041277","bbdb34ee8c0139630643367e2397efe272e7f81c82e53f089cb554f920cdb7c6","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:c21bcab572bdbd29300941ba","ANSS","ANSYS INC","0001013462","2019-07-09 04:00:00+00:00","2025-07-18 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1013462/000114036125026141/ef20052066_8k.htm","..\data\raw\sec_identity_evidence_20260802\ANSS_0001140361-25-026141_ef20052066_8k.htm","0001140361-25-026141","426bf69a6bb880823207f8d84fc5337d2ef697122d58b87f5e2805a3997c4ee2","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:c495e60a20995672bfdab827","CTRA","Coterra Energy Inc.","0000858470","2019-07-09 04:00:00+00:00","2026-05-07 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/858470/000085847026000082/ctra-20260331.htm","..\data\raw\sec_identity_evidence_20260802\CTRA_0000858470-26-000082_ctra-20260331.htm","0000858470-26-000082","59fb241935cbec511edc037eb92dd1e1ed08a248212abf1f7b377616c18ab957","approved","official_sec_filing_cover_lists_trading_symbol"
